Date,Open,High,Low,Close,Volume,RSI14,MA5,MA25,MA75
2025-09-25,894.0,896.0,892.0,896.0,821200.0,,,,
2025-09-26,896.0,898.0,894.0,894.0,1273700.0,,,,
2025-09-29,867.0,870.0,862.0,865.0,1420800.0,,,,
2025-09-30,865.0,866.0,860.0,860.0,876900.0,,,,
2025-10-01,858.0,858.0,834.0,835.0,1789100.0,,870.0,,
2025-10-02,837.0,845.0,833.0,833.0,934200.0,,857.4,,
2025-10-03,833.0,845.0,833.0,844.0,648100.0,,847.4,,
2025-10-06,852.0,860.0,845.0,858.0,969500.0,,846.0,,
2025-10-07,859.0,865.0,856.0,863.0,565000.0,,846.6,,
2025-10-08,863.0,866.0,860.0,860.0,384500.0,,851.6,,
2025-10-09,857.0,859.0,849.0,849.0,584800.0,,854.8,,
2025-10-10,848.0,848.0,838.0,838.0,669600.0,,853.6,,
2025-10-14,834.0,843.0,831.0,834.0,899600.0,,848.8,,
2025-10-15,840.0,847.0,840.0,844.0,461400.0,,845.0,,
2025-10-16,850.0,855.0,847.0,854.0,398100.0,38.0,843.8,,
2025-10-17,856.0,857.0,852.0,854.0,329500.0,38.0,844.8,,
2025-10-20,858.0,862.0,856.0,859.0,369900.0,41.5,849.0,,
2025-10-21,859.0,862.0,848.0,850.0,591200.0,37.4,852.2,,
2025-10-22,850.0,861.0,848.0,861.0,832200.0,44.6,855.6,,
2025-10-23,860.0,861.0,854.0,859.0,182200.0,43.6,856.6,,
2025-10-24,862.0,865.0,859.0,861.0,509700.0,44.9,858.0,,
2025-10-27,867.0,875.0,865.0,875.0,765200.0,53.1,861.2,,
2025-10-28,875.0,875.0,860.0,860.0,415900.0,45.3,863.2,,
2025-10-29,861.0,864.0,856.0,856.0,300500.0,43.5,862.2,,
2025-10-30,856.0,863.0,856.0,861.0,234000.0,46.4,862.6,856.9,
2025-10-31,863.0,870.0,861.0,870.0,527100.0,51.3,864.4,855.9,
2025-11-04,872.0,875.0,870.0,873.0,413600.0,52.8,864.0,855.0,
2025-11-05,870.0,870.0,855.0,863.0,560100.0,47.4,864.6,855.0,
2025-11-06,864.0,867.0,862.0,863.0,202100.0,47.4,866.0,855.1,
2025-11-07,863.0,863.0,857.0,861.0,368400.0,46.3,866.0,856.1,
2025-11-10,863.0,868.0,863.0,865.0,372600.0,48.9,865.0,857.4,
2025-11-11,866.0,868.0,860.0,867.0,477700.0,50.1,863.8,858.3,
2025-11-12,864.0,868.0,861.0,863.0,451600.0,47.6,863.8,858.5,
2025-11-13,863.0,864.0,858.0,859.0,638600.0,45.1,863.0,858.4,
2025-11-14,860.0,882.0,858.0,880.0,1419400.0,57.6,866.8,859.2,
2025-11-17,877.0,881.0,868.0,879.0,580300.0,56.9,869.6,860.4,
2025-11-18,879.0,879.0,865.0,870.0,654300.0,51.2,870.2,861.6,
2025-11-19,868.0,871.0,860.0,860.0,789800.0,45.7,869.6,862.7,
2025-11-20,867.0,875.0,865.0,873.0,708100.0,52.8,872.4,863.8,
2025-11-21,870.0,878.0,870.0,873.0,488400.0,52.8,871.0,864.6,
2025-11-25,877.0,878.0,872.0,873.0,256100.0,52.8,869.8,865.4,
2025-11-26,873.0,875.0,867.0,870.0,420700.0,50.9,869.8,865.8,
2025-11-27,870.0,870.0,867.0,869.0,200600.0,50.2,871.6,866.6,
2025-11-28,868.0,874.0,867.0,874.0,343600.0,53.4,871.8,867.1,
2025-12-01,874.0,877.0,868.0,869.0,491700.0,50.0,871.0,867.5,
2025-12-02,870.0,872.0,867.0,869.0,272500.0,50.0,870.2,867.8,
2025-12-03,868.0,869.0,865.0,868.0,342300.0,49.2,869.8,867.5,
2025-12-04,867.0,875.0,867.0,875.0,512800.0,54.3,871.0,868.1,
2025-12-05,875.0,879.0,873.0,875.0,337300.0,54.3,871.2,868.9,
2025-12-08,879.0,885.0,877.0,885.0,374900.0,60.9,874.4,869.8,
2025-12-09,885.0,886.0,875.0,876.0,321700.0,53.5,875.8,870.1,
2025-12-10,877.0,882.0,877.0,882.0,308900.0,57.2,878.6,870.4,
2025-12-11,888.0,892.0,877.0,877.0,515900.0,53.4,879.0,871.0,
2025-12-12,882.0,885.0,872.0,877.0,542400.0,53.4,879.4,871.6,
2025-12-15,877.0,885.0,875.0,885.0,542500.0,58.5,879.4,872.5,
2025-12-16,886.0,889.0,882.0,882.0,342900.0,56.0,880.6,873.2,
2025-12-17,884.0,884.0,878.0,883.0,264500.0,56.7,880.8,873.8,
2025-12-18,883.0,887.0,882.0,882.0,236800.0,55.8,881.8,874.6,
2025-12-19,888.0,894.0,885.0,890.0,560200.0,61.2,884.4,875.8,
2025-12-22,893.0,899.0,891.0,899.0,580000.0,66.1,887.2,876.6,
2025-12-23,899.0,903.0,898.0,903.0,294000.0,68.1,891.4,877.6,
2025-12-24,903.0,907.0,897.0,899.0,374000.0,64.1,894.6,878.7,
2025-12-25,901.0,908.0,899.0,908.0,520300.0,68.6,899.8,880.6,
2025-12-26,907.0,913.0,906.0,913.0,586500.0,70.8,904.4,882.2,
2025-12-29,918.0,937.0,915.0,937.0,826700.0,78.5,912.0,884.8,
2025-12-30,938.0,943.0,931.0,938.0,499800.0,78.7,919.0,887.4,
2026-01-05,943.0,948.0,930.0,932.0,698800.0,73.2,925.6,889.9,
2026-01-06,935.0,943.0,933.0,941.0,420800.0,75.9,932.2,892.8,
2026-01-07,937.0,940.0,931.0,939.0,571600.0,74.1,937.4,895.4,
2026-01-08,939.0,946.0,935.0,946.0,620600.0,76.2,939.2,898.4,
2026-01-09,949.0,967.0,948.0,962.0,714300.0,80.3,944.0,902.2,
2026-01-13,969.0,970.0,952.0,955.0,951100.0,74.3,948.6,905.6,
2026-01-14,952.0,955.0,948.0,948.0,833600.0,68.9,950.0,908.6,
2026-01-15,948.0,959.0,946.0,959.0,495400.0,72.3,954.0,911.9,
2026-01-16,959.0,968.0,950.0,968.0,575100.0,74.8,958.4,915.2,880.7
2026-01-19,970.0,970.0,955.0,964.0,571100.0,71.7,958.8,918.8,881.6
2026-01-20,966.0,967.0,954.0,954.0,542400.0,64.6,958.6,921.6,882.4
2026-01-21,954.0,955.0,938.0,952.0,1003900.0,63.3,959.4,924.6,883.5
