Date,Open,High,Low,Close,Volume,RSI14,MA5,MA25,MA75
2025-09-16,44948.9,45055.4,44616.3,44902.3,111700000.0,,,,
2025-09-17,44751.8,45033.3,44612.1,44790.4,104600000.0,,,,
2025-09-18,44910.5,45508.7,44815.4,45303.4,113700000.0,,,,
2025-09-19,45634.3,45852.8,44495.5,45045.8,208600000.0,,,,
2025-09-22,45193.8,45757.7,45193.8,45493.7,116600000.0,,45107.1,,
2025-09-24,45484.4,45693.3,45205.5,45630.3,131700000.0,,45252.7,,
2025-09-25,45600.1,45824.7,45503.3,45754.9,127200000.0,,45445.6,,
2025-09-26,45634.2,45766.8,45355.0,45355.0,147500000.0,,45455.9,,
2025-09-29,45113.3,45152.7,44890.2,45043.8,130500000.0,,45455.5,,
2025-09-30,45055.0,45126.2,44733.6,44932.6,160600000.0,,45343.3,,
2025-10-01,44831.9,44874.4,44357.6,44550.9,136700000.0,,45127.4,,
2025-10-02,44736.0,45126.0,44659.2,44936.7,131100000.0,,44963.8,,
2025-10-03,45042.5,45778.7,45042.5,45769.5,117600000.0,,45046.7,,
2025-10-06,46636.1,48150.0,46593.0,47944.8,178300000.0,,45626.9,,
2025-10-07,48281.1,48527.3,47904.4,47950.9,154200000.0,70.5,46230.5,,
2025-10-08,47925.2,48181.1,47728.3,47735.0,142200000.0,67.5,46867.4,,
2025-10-09,48035.4,48597.1,47995.2,48580.4,138500000.0,72.5,47596.1,,
2025-10-10,48510.7,48510.7,47962.6,48088.8,150700000.0,66.1,48060.0,,
2025-10-14,47446.7,47865.6,46544.1,46847.3,170300000.0,53.3,47840.5,,
2025-10-15,47002.3,47774.8,46910.8,47672.7,118400000.0,59.0,47784.8,,
2025-10-16,48107.4,48317.3,47937.7,48277.7,121100000.0,62.6,47893.4,,
2025-10-17,47821.0,48140.9,47494.3,47582.1,124800000.0,56.5,47693.7,,
2025-10-20,48332.7,49185.5,48254.8,49185.5,121000000.0,65.0,47913.1,,
2025-10-21,49675.4,49945.9,49127.2,49316.1,124500000.0,65.6,48406.8,,
2025-10-22,49252.0,49458.3,48613.7,49307.8,141100000.0,65.5,48733.8,46639.9,
2025-10-23,48866.6,48866.6,48399.1,48641.6,107600000.0,59.6,48806.6,46789.5,
2025-10-24,49095.3,49435.3,48965.8,49299.6,109100000.0,63.1,49150.1,46969.9,
2025-10-27,49905.8,50549.6,49839.0,50512.3,122100000.0,68.6,49415.5,47178.2,
2025-10-28,50357.1,50485.8,50107.8,50219.2,119500000.0,66.0,49596.1,47385.2,
2025-10-29,50453.6,51413.0,50365.6,51307.6,129700000.0,70.4,49996.1,47617.7,
2025-10-30,51146.3,51657.3,50972.6,51325.6,230900000.0,70.5,50532.9,47845.5,
2025-10-31,51629.8,52411.3,51613.0,52411.3,180300000.0,74.3,51155.2,48111.8,
2025-11-04,52294.3,52636.9,51497.2,51497.2,190100000.0,66.5,51352.2,48357.5,
2025-11-05,51291.4,51422.4,49073.6,50212.3,219700000.0,57.3,51350.8,48564.2,
2025-11-06,50792.6,51248.3,50594.2,50883.7,171300000.0,60.4,51266.0,48802.3,
2025-11-07,50524.3,50642.8,49640.6,50276.4,146700000.0,56.5,51056.2,49031.3,
2025-11-10,50645.3,50969.5,50392.4,50911.8,129700000.0,59.4,50756.3,49270.3,
2025-11-11,51314.0,51513.2,50581.2,50842.9,125900000.0,59.0,50625.4,49473.2,
2025-11-12,50988.5,51072.3,50537.5,51063.3,150400000.0,60.1,50795.6,49598.0,
2025-11-13,51013.1,51338.9,50954.3,51281.8,135700000.0,61.2,50875.2,49731.2,
2025-11-14,50767.7,50767.7,50246.6,50376.5,149300000.0,54.4,50895.3,49836.9,
2025-11-17,50282.4,50398.2,49845.9,50323.9,126000000.0,54.1,50777.7,49906.6,
2025-11-18,49812.9,49971.6,48661.5,48703.0,137400000.0,44.1,50349.7,49931.2,
