Date,Open,High,Low,Close,Volume,RSI14,MA5,MA25,MA75
2025-09-24,328.4,329.7,326.7,329.3,11865200.0,,,,
2025-09-25,330.3,331.7,329.5,331.2,20842000.0,,,,
2025-09-26,330.8,333.1,330.5,330.6,19865900.0,,,,
2025-09-29,331.1,331.5,327.9,328.5,19496400.0,,,,
2025-09-30,328.6,329.9,326.5,328.3,24949600.0,,329.6,,
2025-10-01,326.8,327.2,322.9,324.5,17838300.0,,328.6,,
2025-10-02,324.6,325.7,322.0,323.6,14300000.0,,327.1,,
2025-10-03,324.3,328.3,324.2,328.0,13730700.0,,326.6,,
2025-10-06,338.7,339.5,335.4,338.5,30185700.0,,328.6,,
2025-10-07,339.8,340.7,337.9,338.3,18084200.0,,330.6,,
2025-10-08,339.6,342.3,338.7,339.4,12133500.0,,333.6,,
2025-10-09,340.9,341.7,339.9,341.5,10458500.0,,337.1,,
2025-10-10,340.4,340.4,334.7,335.0,22707400.0,,338.5,,
2025-10-14,329.6,333.3,326.6,328.7,29367600.0,,336.6,,
2025-10-15,330.9,334.2,330.4,334.2,12168400.0,64.2,335.8,,
2025-10-16,336.3,337.2,334.4,335.5,8951000.0,65.4,335.0,,
2025-10-17,333.1,335.0,331.9,332.4,18288200.0,60.5,333.2,,
2025-10-20,337.5,340.3,336.3,340.0,17144800.0,67.0,334.2,,
2025-10-21,342.2,343.3,340.1,340.8,26663500.0,67.6,336.6,,
2025-10-22,340.2,343.3,339.6,342.1,19802100.0,68.6,338.2,,
2025-10-23,340.0,341.3,338.9,340.7,11773600.0,66.2,339.2,,
2025-10-24,342.7,343.9,341.3,342.5,16046500.0,67.8,341.2,,
2025-10-27,347.1,349.1,346.5,348.5,17143500.0,72.4,342.9,,
2025-10-28,347.7,347.7,344.2,344.9,12575600.0,66.3,343.7,,
2025-10-29,346.0,346.2,343.3,343.8,16188400.0,64.5,344.1,335.6,
2025-10-30,344.4,346.7,343.4,345.8,28804700.0,66.3,345.1,336.3,
2025-10-31,348.9,351.0,346.9,349.2,19715700.0,69.1,346.4,337.0,
2025-11-04,348.4,351.5,347.0,347.3,23800700.0,65.8,346.2,337.7,
2025-11-05,343.9,344.9,335.5,342.6,62824000.0,58.3,345.7,338.2,
2025-11-06,345.9,348.4,345.3,347.2,15374500.0,62.8,346.4,339.0,
2025-11-07,344.9,346.6,342.7,345.5,23649700.0,60.2,346.4,339.8,
2025-11-10,348.1,348.2,346.3,347.9,10363400.0,62.5,346.1,340.8,
2025-11-11,350.0,350.6,347.0,348.1,21464500.0,62.7,346.3,341.6,
2025-11-12,349.5,352.7,349.0,352.2,25451100.0,66.6,348.2,342.2,
2025-11-13,353.3,355.5,353.2,354.9,15383600.0,68.9,349.7,342.8,
2025-11-14,349.0,352.9,348.8,352.2,28700800.0,64.1,351.1,343.3,
2025-11-17,351.1,351.6,349.3,350.7,12643100.0,61.6,351.6,343.7,
2025-11-18,348.5,349.3,341.0,341.1,23987000.0,48.5,350.2,344.0,
2025-11-19,342.1,343.6,338.5,340.5,16652900.0,47.8,347.9,344.4,
2025-11-20,347.9,349.5,345.4,345.9,30139400.0,54.1,346.1,344.9,
2025-11-21,341.5,346.9,341.0,345.7,21307900.0,53.8,344.8,345.3,
2025-11-25,349.0,349.1,343.9,345.1,21198100.0,53.0,343.7,345.8,
2025-11-26,347.9,352.5,347.5,352.0,25093600.0,60.5,345.8,346.3,
2025-11-27,353.7,354.5,352.8,353.1,23483000.0,61.5,348.4,346.8,
2025-11-28,352.7,354.6,352.5,354.2,11753700.0,62.6,350.0,347.3,
2025-12-01,354.2,354.7,349.7,350.1,58398100.0,56.3,350.9,347.6,
2025-12-02,350.9,352.2,349.7,350.1,18951600.0,56.3,351.9,347.9,
2025-12-03,350.6,351.5,348.9,349.6,11993000.0,55.5,351.4,348.0,
2025-12-04,350.1,356.7,350.0,356.6,29571800.0,63.3,352.1,348.5,
2025-12-05,352.8,353.5,351.1,352.2,16113500.0,56.6,351.7,348.8,
2025-12-08,353.6,355.0,351.8,355.0,15890300.0,59.5,352.7,349.2,
2025-12-09,355.4,356.2,354.1,354.8,17114800.0,59.2,353.6,349.4,
2025-12-10,356.1,357.4,354.0,355.2,12657800.0,59.7,354.8,349.7,
2025-12-11,357.4,357.8,351.6,352.5,22307800.0,55.2,353.9,350.1,
2025-12-12,356.0,359.7,355.4,359.3,24862500.0,62.7,355.4,350.6,
2025-12-15,357.6,360.6,357.3,360.6,24320800.0,64.0,356.5,351.2,
2025-12-16,359.8,360.1,353.8,353.8,30867700.0,53.9,356.3,351.4,
2025-12-17,353.0,353.9,350.7,353.7,10878700.0,53.7,356.0,351.6,
2025-12-18,351.2,353.1,350.2,352.1,19745100.0,51.5,355.9,351.6,
2025-12-19,353.7,356.3,353.1,355.3,22364300.0,55.5,355.1,351.7,
2025-12-22,359.4,359.7,356.7,357.2,20868200.0,57.7,354.4,351.9,
2025-12-23,357.7,359.4,357.4,358.8,140778300.0,59.5,355.4,352.2,
